Temperatura,Personas,Electrodomesticos,Consumo_kWh
24.364929157449893,3.0,19.0,56.91953866021707
18.592870602802776,3.0,17.0,46.09814268892491
23.21219748345239,3.0,20.0,54.16893883575673
13.496321829808343,1.0,16.0,42.64723578643537
25.765714169746,4.0,19.0,62.679168579791
14.326393298959779,3.0,12.0,42.93034553333139
22.02563539066136,5.0,13.0,49.86080196054723
21.398861649219043,1.0,16.0,45.491089193339505
17.965090607135245,3.0,16.0,44.88293944797027
36.359096974944585,5.0,,58.84398859206468
19.01088540296828,5.0,19.0,57.55760567714642
24.36228496767879,3.0,,55.762925411840754
27.479780590042807,4.0,19.0,71.62034092229288
15.924155994538927,4.0,17.0,48.677952166115915
28.71178185718991,3.0,13.0,52.95495054614441
21.389251061658385,5.0,6.0,41.12147070336367
27.062577384885863,1.0,17.0,50.87527399766062
17.430654266470658,4.0,17.0,
16.852348963127504,3.0,18.0,53.30261924231402
28.048982248158435,3.0,5.0,33.94447424284484
24.509361518895165,2.0,,
22.694230885781167,2.0,11.0,39.19543814261937
25.203805566708358,5.0,,40.11976903925482
24.636663325553307,1.0,18.0,50.73748432418188
16.228198823916557,2.0,13.0,40.019784327083414
10.933332603015884,1.0,19.0,38.952099479312636
13.591217448024363,4.0,16.0,44.48904844061251
,1.0,13.0,34.417634586638705
10.907325274842995,5.0,13.0,41.682154780484225
18.76284609917201,4.0,5.0,35.08801705595656
19.35797839592819,5.0,20.0,61.47347047697651
21.80395412585627,4.0,19.0,57.31171165100744
23.074879742078757,2.0,6.0,32.931759433165375
20.078205987232483,4.0,8.0,40.74728832463845
20.73047960954057,1.0,20.0,52.07690561816748
22.36626037301971,1.0,6.0,32.23114745487844
17.013980812876618,1.0,13.0,37.55781934116024
18.430718561966433,3.0,17.0,45.41646420948927
22.177081730702408,3.0,10.0,40.10851002557758
18.610273174386485,3.0,7.0,34.5168900968195
19.14059469206745,4.0,14.0,51.1802394235654
21.470688423338324,2.0,,47.04581586983184
28.67915669335884,2.0,12.0,45.68653595017976
23.593326440080677,2.0,19.0,51.72569831540006
20.312023749749816,1.0,16.0,44.64797168037928
19.073658609962962,3.0,14.0,49.44055181482776
21.425400296051226,2.0,15.0,43.722949669405125
33.209088971976165,1.0,6.0,38.282850756175634
6.262917392280098,4.0,9.0,29.641946799342595
24.67567946640058,5.0,12.0,53.61100840355773
23.162452196918814,3.0,9.0,38.798703866143605
26.338059754411415,4.0,11.0,
16.25893642876864,5.0,9.0,39.7602847281391
32.571721207277555,5.0,13.0,60.39187738481999
27.004713803447522,1.0,7.0,33.70623632249
21.742925023569416,4.0,6.0,39.86826876177516
22.798938490366798,5.0,18.0,66.21959016442031
18.418682068375198,4.0,7.0,42.852927761353406
22.25261413262685,4.0,6.0,42.496411159778965
21.283312927255224,5.0,20.0,60.55967251943431
26.71787695260404,2.0,11.0,45.450366883635674
23.788221127346503,5.0,9.0,46.20085806797027
21.582753985877762,1.0,19.0,50.16280864133098
25.389030514594097,3.0,17.0,54.81982623841605
24.78030186967103,4.0,12.0,52.27649673163719
23.113597304262463,4.0,17.0,59.0740817572546
14.355072602564793,3.0,6.0,30.83911218674941
27.14605587774392,4.0,11.0,52.358396996609365
16.16870620272715,3.0,8.0,32.89932302145281
16.952191738452978,2.0,14.0,42.24712524931401
21.473660056511715,3.0,13.0,38.96770520596697
24.560110790668585,5.0,12.0,56.054712588226174
29.03863881860271,,11.0,45.7060662828264
13.561518344764666,4.0,11.0,
29.35616996317334,3.0,9.0,53.26682194528368
30.182314537216207,1.0,16.0,54.90539682404314
19.69302531890543,4.0,17.0,50.47557905385474
20.993188649217505,4.0,17.0,54.90678695390585
19.14091634858813,4.0,15.0,47.40786495846526
18.98350442629005,2.0,13.0,46.42376099045927
15.303053894513734,4.0,9.0,29.863375068476643
13.55173539823082,1.0,10.0,21.1285404604365
21.00336330362933,4.0,19.0,56.12084658837199
23.28886292732529,2.0,16.0,49.61550473231027
31.144103575374412,3.0,12.0,53.48959729628357
16.99499227492881,5.0,9.0,44.86101445536492
11.54154393326993,2.0,11.0,32.95011602727642
22.732798529563166,4.0,7.0,141.70413187585407
,3.0,6.0,33.04290086509114
23.78111503653554,3.0,13.0,44.5199011236688
20.010601334623747,2.0,6.0,29.059346693541016
15.703882421953821,1.0,12.0,30.800198780582736
,4.0,12.0,43.631769067216915
26.01315225123708,5.0,5.0,43.18791957668939
,,20.0,45.99413785782392
17.154117506738793,3.0,13.0,42.272700479837226
26.359840609904428,5.0,9.0,46.6626745818453
